Year,Month,dewey,counts
2007,01-02,0,2805
2007,01-02,100,100
2007,01-02,200,124
2007,01-02,300,452
2007,01-02,400,52
2007,01-02,500,191
2007,01-02,600,617
2007,01-02,700,873
2007,01-02,800,261
2007,01-02,900,389
2007,01-03,0,3338
2007,01-03,100,116
2007,01-03,200,152
2007,01-03,300,517
2007,01-03,400,43
2007,01-03,500,172
2007,01-03,600,673
2007,01-03,700,826
2007,01-03,800,280
2007,01-03,900,425
2007,01-04,0,3113
2007,01-04,100,159
2007,01-04,200,121
2007,01-04,300,538
2007,01-04,400,22
2007,01-04,500,211
2007,01-04,600,848
2007,01-04,700,865
2007,01-04,800,264
2007,01-04,900,415
2007,01-05,0,2441
2007,01-05,100,108
2007,01-05,200,86
2007,01-05,300,390
2007,01-05,400,39
2007,01-05,500,135
2007,01-05,600,591
2007,01-05,700,698
2007,01-05,800,172
2007,01-05,900,385
2007,01-06,0,3126
2007,01-06,100,128
2007,01-06,200,135
2007,01-06,300,534
2007,01-06,400,70
2007,01-06,500,271
2007,01-06,600,795
2007,01-06,700,906
2007,01-06,800,257
2007,01-06,900,509
2007,01-07,0,1322
2007,01-07,100,64
2007,01-07,200,70
2007,01-07,300,262
2007,01-07,400,18
2007,01-07,500,200
2007,01-07,600,404
2007,01-07,700,477
2007,01-07,800,142
2007,01-07,900,339
2007,01-08,0,2704
2007,01-08,100,124
2007,01-08,200,116
2007,01-08,300,375
2007,01-08,400,41
2007,01-08,500,230
2007,01-08,600,602
2007,01-08,700,784
2007,01-08,800,200
2007,01-08,900,401
2007,01-09,0,2388
2007,01-09,100,96
2007,01-09,200,122
2007,01-09,300,411
2007,01-09,400,38
2007,01-09,500,165
2007,01-09,600,546
2007,01-09,700,742
2007,01-09,800,169
2007,01-09,900,375
2007,01-10,0,2546
2007,01-10,100,135
2007,01-10,200,155
2007,01-10,300,528
2007,01-10,400,44
2007,01-10,500,170
2007,01-10,600,625
2007,01-10,700,943
2007,01-10,800,245
2007,01-10,900,452
2007,01-11,0,1976
2007,01-11,100,126
2007,01-11,200,128
2007,01-11,300,493
2007,01-11,400,56
2007,01-11,500,176
2007,01-11,600,628
2007,01-11,700,712
2007,01-11,800,209
2007,01-11,900,359
2007,01-12,0,2516
2007,01-12,100,138
2007,01-12,200,148
2007,01-12,300,476
2007,01-12,400,23
2007,01-12,500,159
2007,01-12,600,760
2007,01-12,700,842
2007,01-12,800,252
2007,01-12,900,354
2007,01-13,0,2571
2007,01-13,100,153
2007,01-13,200,167
2007,01-13,300,447
2007,01-13,400,32
2007,01-13,500,171
2007,01-13,600,743
2007,01-13,700,844
2007,01-13,800,203
2007,01-13,900,429
2007,01-14,0,1412
2007,01-14,100,60
2007,01-14,200,84
2007,01-14,300,302
2007,01-14,400,24
2007,01-14,500,85
2007,01-14,600,398
2007,01-14,700,374
2007,01-14,800,123
2007,01-14,900,224
2007,01-16,0,2594
2007,01-16,100,87
2007,01-16,200,100
2007,01-16,300,446
2007,01-16,400,45
2007,01-16,500,159
2007,01-16,600,631
2007,01-16,700,663
2007,01-16,800,181
2007,01-16,900,400
2007,01-17,0,3820
2007,01-17,100,214
2007,01-17,200,166
2007,01-17,300,672
2007,01-17,400,55
2007,01-17,500,255
2007,01-17,600,1030
2007,01-17,700,1062
2007,01-17,800,362
2007,01-17,900,627
2007,01-18,0,2969
2007,01-18,100,183
2007,01-18,200,133
2007,01-18,300,598
2007,01-18,400,52
2007,01-18,500,219
2007,01-18,600,945
2007,01-18,700,855
2007,01-18,800,295
2007,01-18,900,498
2007,01-19,0,2551
2007,01-19,100,114
2007,01-19,200,140
2007,01-19,300,470
2007,01-19,400,33
2007,01-19,500,161
2007,01-19,600,740
2007,01-19,700,876
2007,01-19,800,258
2007,01-19,900,416
2007,01-20,0,3200
2007,01-20,100,199
2007,01-20,200,183
2007,01-20,300,683
2007,01-20,400,41
2007,01-20,500,234
2007,01-20,600,938
2007,01-20,700,1016
2007,01-20,800,317
2007,01-20,900,630
2007,01-21,0,1386
2007,01-21,100,89
2007,01-21,200,65
2007,01-21,300,314
2007,01-21,400,14
2007,01-21,500,118
2007,01-21,600,454
2007,01-21,700,520
2007,01-21,800,129
2007,01-21,900,298
2007,01-22,0,2720
2007,01-22,100,134
2007,01-22,200,162
2007,01-22,300,516
2007,01-22,400,41
2007,01-22,500,186
2007,01-22,600,777
2007,01-22,700,701
2007,01-22,800,388
2007,01-22,900,452
2007,01-23,0,3229
2007,01-23,100,179
2007,01-23,200,158
2007,01-23,300,621
2007,01-23,400,41
2007,01-23,500,293
2007,01-23,600,1003
2007,01-23,700,936
2007,01-23,800,277
2007,01-23,900,603
2007,01-24,0,4266
2007,01-24,100,199
2007,01-24,200,179
2007,01-24,300,770
2007,01-24,400,58
2007,01-24,500,261
2007,01-24,600,1186
2007,01-24,700,1137
2007,01-24,800,325
2007,01-24,900,658
2007,01-25,0,4184
2007,01-25,100,183
2007,01-25,200,201
2007,01-25,300,795
2007,01-25,400,46
2007,01-25,500,327
2007,01-25,600,1052
2007,01-25,700,1165
2007,01-25,800,321
2007,01-25,900,707
2007,01-26,0,3814
2007,01-26,100,256
2007,01-26,200,231
2007,01-26,300,837
2007,01-26,400,53
2007,01-26,500,249
2007,01-26,600,1140
2007,01-26,700,1122
2007,01-26,800,279
2007,01-26,900,670
2007,01-27,0,4529
2007,01-27,100,280
2007,01-27,200,206
2007,01-27,300,826
2007,01-27,400,78
2007,01-27,500,303
2007,01-27,600,1263
2007,01-27,700,1375
2007,01-27,800,372
2007,01-27,900,717
2007,01-28,0,2388
2007,01-28,100,101
2007,01-28,200,115
2007,01-28,300,466
2007,01-28,400,31
2007,01-28,500,222
2007,01-28,600,629
2007,01-28,700,716
2007,01-28,800,206
2007,01-28,900,391
2007,01-29,0,4257
2007,01-29,100,164
2007,01-29,200,195
2007,01-29,300,823
2007,01-29,400,63
2007,01-29,500,280
2007,01-29,600,1104
2007,01-29,700,1151
2007,01-29,800,280
2007,01-29,900,629
2007,01-30,0,4066
2007,01-30,100,232
2007,01-30,200,212
2007,01-30,300,778
2007,01-30,400,68
2007,01-30,500,296
2007,01-30,600,1159
2007,01-30,700,1089
2007,01-30,800,291
2007,01-30,900,676
2007,01-31,0,4678
2007,01-31,100,279
2007,01-31,200,254
2007,01-31,300,906
2007,01-31,400,97
2007,01-31,500,228
2007,01-31,600,1198
2007,01-31,700,1240
2007,01-31,800,342
2007,01-31,900,679
2007,02-01,0,4600
2007,02-01,100,195
2007,02-01,200,191
2007,02-01,300,777
2007,02-01,400,73
2007,02-01,500,319
2007,02-01,600,1181
2007,02-01,700,1283
2007,02-01,800,341
2007,02-01,900,598
2007,02-02,0,5009
2007,02-02,100,222
2007,02-02,200,244
2007,02-02,300,871
2007,02-02,400,60
2007,02-02,500,264
2007,02-02,600,1123
2007,02-02,700,1328
2007,02-02,800,358
2007,02-02,900,643
2007,02-03,0,5553
2007,02-03,100,246
2007,02-03,200,238
2007,02-03,300,1033
2007,02-03,400,75
2007,02-03,500,344
2007,02-03,600,1334
2007,02-03,700,1595
2007,02-03,800,408
2007,02-03,900,895
2007,02-04,0,2594
2007,02-04,100,112
2007,02-04,200,124
2007,02-04,300,461
2007,02-04,400,23
2007,02-04,500,135
2007,02-04,600,587
2007,02-04,700,735
2007,02-04,800,209
2007,02-04,900,325
2007,02-05,0,4821
2007,02-05,100,206
2007,02-05,200,196
2007,02-05,300,827
2007,02-05,400,49
2007,02-05,500,239
2007,02-05,600,1177
2007,02-05,700,1565
2007,02-05,800,355
2007,02-05,900,747
2007,02-06,0,5475
2007,02-06,100,180
2007,02-06,200,210
2007,02-06,300,954
2007,02-06,400,75
2007,02-06,500,380
2007,02-06,600,1101
2007,02-06,700,1217
2007,02-06,800,468
2007,02-06,900,731
2007,02-07,0,6919
2007,02-07,100,276
2007,02-07,200,231
2007,02-07,300,1050
2007,02-07,400,93
2007,02-07,500,389
2007,02-07,600,1459
2007,02-07,700,1678
2007,02-07,800,491
2007,02-07,900,995
2007,02-08,0,5713
2007,02-08,100,184
2007,02-08,200,233
2007,02-08,300,804
2007,02-08,400,78
2007,02-08,500,332
2007,02-08,600,1327
2007,02-08,700,1605
2007,02-08,800,427
2007,02-08,900,736
2007,02-09,0,5591
2007,02-09,100,200
2007,02-09,200,223
2007,02-09,300,862
2007,02-09,400,41
2007,02-09,500,271
2007,02-09,600,1182
2007,02-09,700,1428
2007,02-09,800,385
2007,02-09,900,770
2007,02-10,0,6453
2007,02-10,100,259
2007,02-10,200,257
2007,02-10,300,1055
2007,02-10,400,92
2007,02-10,500,409
2007,02-10,600,1416
2007,02-10,700,1939
2007,02-10,800,610
2007,02-10,900,993
2007,02-11,0,3311
2007,02-11,100,159
2007,02-11,200,140
2007,02-11,300,565
2007,02-11,400,39
2007,02-11,500,245
2007,02-11,600,612
2007,02-11,700,846
2007,02-11,800,224
2007,02-11,900,549
2007,02-12,0,5331
2007,02-12,100,238
2007,02-12,200,185
2007,02-12,300,768
2007,02-12,400,70
2007,02-12,500,337
2007,02-12,600,1062
2007,02-12,700,1483
2007,02-12,800,420
2007,02-12,900,649
2007,02-13,0,5107
2007,02-13,100,183
2007,02-13,200,274
2007,02-13,300,854
2007,02-13,400,47
2007,02-13,500,299
2007,02-13,600,1113
2007,02-13,700,1457
2007,02-13,800,469
2007,02-13,900,739
2007,02-14,0,5817
2007,02-14,100,252
2007,02-14,200,217
2007,02-14,300,790
2007,02-14,400,61
2007,02-14,500,365
2007,02-14,600,1307
2007,02-14,700,1510
2007,02-14,800,430
2007,02-14,900,810
2007,02-15,0,6654
2007,02-15,100,301
2007,02-15,200,289
2007,02-15,300,1024
2007,02-15,400,69
2007,02-15,500,323
2007,02-15,600,1538
2007,02-15,700,1900
2007,02-15,800,483
2007,02-15,900,915
2007,02-16,0,5682
2007,02-16,100,255
2007,02-16,200,219
2007,02-16,300,796
2007,02-16,400,65
2007,02-16,500,254
2007,02-16,600,1263
2007,02-16,700,1438
2007,02-16,800,408
2007,02-16,900,726
2007,02-17,0,6568
2007,02-17,100,225
2007,02-17,200,246
2007,02-17,300,961
2007,02-17,400,69
2007,02-17,500,343
2007,02-17,600,1366
2007,02-17,700,1845
2007,02-17,800,451
2007,02-17,900,796
2007,02-18,0,3850
2007,02-18,100,127
2007,02-18,200,154
2007,02-18,300,497
2007,02-18,400,42
2007,02-18,500,213
2007,02-18,600,814
2007,02-18,700,1043
2007,02-18,800,275
2007,02-18,900,348
2007,02-19,0,0
2007,02-19,100,0
2007,02-19,200,0
2007,02-19,300,0
2007,02-19,400,0
2007,02-19,500,0
2007,02-19,600,0
2007,02-19,700,2
2007,02-19,800,2
2007,02-19,900,0
2007,02-20,0,7424
2007,02-20,100,260
2007,02-20,200,249
2007,02-20,300,1024
2007,02-20,400,105
2007,02-20,500,481
2007,02-20,600,1418
2007,02-20,700,2007
2007,02-20,800,545
2007,02-20,900,895
2007,02-21,0,6957
2007,02-21,100,302
2007,02-21,200,272
2007,02-21,300,1119
2007,02-21,400,70
2007,02-21,500,374
2007,02-21,600,1372
2007,02-21,700,1939
2007,02-21,800,506
2007,02-21,900,873
2007,02-22,0,7083
2007,02-22,100,319
2007,02-22,200,260
2007,02-22,300,939
2007,02-22,400,76
2007,02-22,500,431
2007,02-22,600,1528
2007,02-22,700,1804
2007,02-22,800,489
2007,02-22,900,896
2007,02-23,0,5968
2007,02-23,100,270
2007,02-23,200,258
2007,02-23,300,907
2007,02-23,400,52
2007,02-23,500,346
2007,02-23,600,1426
2007,02-23,700,1810
2007,02-23,800,391
2007,02-23,900,732
2007,02-24,0,6791
2007,02-24,100,245
2007,02-24,200,247
2007,02-24,300,957
2007,02-24,400,73
2007,02-24,500,390
2007,02-24,600,1484
2007,02-24,700,1842
2007,02-24,800,499
2007,02-24,900,953
2007,02-25,0,3318
2007,02-25,100,160
2007,02-25,200,142
2007,02-25,300,498
2007,02-25,400,41
2007,02-25,500,239
2007,02-25,600,652
2007,02-25,700,867
2007,02-25,800,258
2007,02-25,900,405
2007,02-26,0,5443
2007,02-26,100,203
2007,02-26,200,238
2007,02-26,300,831
2007,02-26,400,69
2007,02-26,500,303
2007,02-26,600,1045
2007,02-26,700,1666
2007,02-26,800,421
2007,02-26,900,818
2007,02-27,0,5426
2007,02-27,100,283
2007,02-27,200,251
2007,02-27,300,796
2007,02-27,400,76
2007,02-27,500,320
2007,02-27,600,1231
2007,02-27,700,1500
2007,02-27,800,477
2007,02-27,900,693
2007,02-28,0,6858
2007,02-28,100,239
2007,02-28,200,241
2007,02-28,300,1054
2007,02-28,400,67
2007,02-28,500,429
2007,02-28,600,1458
2007,02-28,700,1889
2007,02-28,800,428
2007,02-28,900,931
2007,03-01,0,6836
2007,03-01,100,254
2007,03-01,200,255
2007,03-01,300,1029
2007,03-01,400,92
2007,03-01,500,407
2007,03-01,600,1403
2007,03-01,700,1837
2007,03-01,800,507
2007,03-01,900,815
2007,03-02,0,6097
2007,03-02,100,194
2007,03-02,200,213
2007,03-02,300,854
2007,03-02,400,42
2007,03-02,500,338
2007,03-02,600,1181
2007,03-02,700,1602
2007,03-02,800,328
2007,03-02,900,752
2007,03-03,0,6819
2007,03-03,100,280
2007,03-03,200,291
2007,03-03,300,966
2007,03-03,400,91
2007,03-03,500,371
2007,03-03,600,1452
