Year,Month,dewey,counts
2007,01,0,86909
2007,01,100,4400
2007,01,200,4308
2007,01,300,16246
2007,01,400,1318
2007,01,500,6127
2007,01,600,23479
2007,01,700,25510
2007,01,800,7400
2007,01,900,14107
2007,02,0,150316
2007,02,100,6101
2007,02,200,6029
2007,02,300,23074
2007,02,400,1750
2007,02,500,8774
2007,02,600,32576
2007,02,700,41221
2007,02,800,11228
2007,02,900,20161
2007,03,0,179847
2007,03,100,7796
2007,03,200,7281
2007,03,300,26932
2007,03,400,2265
2007,03,500,11070
2007,03,600,38905
2007,03,700,51873
2007,03,800,13056
2007,03,900,24064
2007,04,0,159200
2007,04,100,6549
2007,04,200,6155
2007,04,300,23271
2007,04,400,1978
2007,04,500,9474
2007,04,600,33317
2007,04,700,46966
2007,04,800,12139
2007,04,900,19697
2007,05,0,137671
2007,05,100,6425
2007,05,200,5658
2007,05,300,21807
2007,05,400,1766
2007,05,500,8825
2007,05,600,31885
2007,05,700,42527
2007,05,800,10229
2007,05,900,18658
2007,06,0,195207
2007,06,100,7468
2007,06,200,6282
2007,06,300,25228
2007,06,400,2023
2007,06,500,9811
2007,06,600,37748
2007,06,700,50753
2007,06,800,12495
2007,06,900,21220
2007,07,0,202761
2007,07,100,7475
2007,07,200,6591
2007,07,300,25685
2007,07,400,2071
2007,07,500,10160
2007,07,600,38334
2007,07,700,53131
2007,07,800,12820
2007,07,900,20750
2007,08,0,200146
2007,08,100,7770
2007,08,200,6473
2007,08,300,25981
2007,08,400,2161
2007,08,500,9379
2007,08,600,38400
2007,08,700,52771
2007,08,800,13086
2007,08,900,20991
2007,09,0,168712
2007,09,100,6353
2007,09,200,5949
2007,09,300,22828
2007,09,400,1837
2007,09,500,8366
2007,09,600,32767
2007,09,700,44568
2007,09,800,11847
2007,09,900,17846
2007,10,0,160004
2007,10,100,6835
2007,10,200,5938
2007,10,300,24541
2007,10,400,2039
2007,10,500,8812
2007,10,600,34676
2007,10,700,43556
2007,10,800,11245
2007,10,900,18807
2007,11,0,198944
2007,11,100,7891
2007,11,200,7545
2007,11,300,29086
2007,11,400,2275
2007,11,500,9989
2007,11,600,40302
2007,11,700,53299
2007,11,800,13234
2007,11,900,21380
2007,12,0,172048
2007,12,100,7095
2007,12,200,6991
2007,12,300,25123
2007,12,400,2109
2007,12,500,7817
2007,12,600,35775
2007,12,700,49279
2007,12,800,12033
2007,12,900,19944
2008,01,0,202456
2008,01,100,8561
2008,01,200,7867
2008,01,300,31817
2008,01,400,2459
2008,01,500,11268
2008,01,600,46221
2008,01,700,60028
2008,01,800,14822
2008,01,900,24913
2008,02,0,185116
2008,02,100,7581
2008,02,200,7107
2008,02,300,28026
2008,02,400,2159
2008,02,500,10284
2008,02,600,41220
2008,02,700,53272
2008,02,800,13004
2008,02,900,22490
2008,03,0,193832
2008,03,100,7774
2008,03,200,7511
2008,03,300,29051
2008,03,400,2324
2008,03,500,11427
2008,03,600,44478
2008,03,700,55638
2008,03,800,13893
2008,03,900,23825
2008,04,0,201691
2008,04,100,8712
2008,04,200,7754
2008,04,300,31674
2008,04,400,2303
2008,04,500,11732
2008,04,600,47446
2008,04,700,58562
2008,04,800,15329
2008,04,900,24242
2008,05,0,197673
2008,05,100,8084
2008,05,200,7193
2008,05,300,30110
2008,05,400,2068
2008,05,500,11397
2008,05,600,43930
2008,05,700,57418
2008,05,800,12917
2008,05,900,23788
2008,06,0,222150
2008,06,100,8377
2008,06,200,7782
2008,06,300,30109
2008,06,400,2281
2008,06,500,10616
2008,06,600,46305
2008,06,700,61180
2008,06,800,13743
2008,06,900,22601
2008,07,0,248275
2008,07,100,9301
2008,07,200,7930
2008,07,300,33161
2008,07,400,2435
2008,07,500,11999
2008,07,600,49174
2008,07,700,70157
2008,07,800,14755
2008,07,900,24454
2008,08,0,229135
2008,08,100,8991
2008,08,200,7482
2008,08,300,31456
2008,08,400,2354
2008,08,500,10389
2008,08,600,47412
2008,08,700,67952
2008,08,800,13807
2008,08,900,22787
2008,09,0,225416
2008,09,100,8639
2008,09,200,7469
2008,09,300,31204
2008,09,400,2414
2008,09,500,11235
2008,09,600,46115
2008,09,700,62519
2008,09,800,14380
2008,09,900,21999
2008,10,0,218345
2008,10,100,8306
2008,10,200,7457
2008,10,300,31613
2008,10,400,2563
2008,10,500,11014
2008,10,600,45456
2008,10,700,63738
2008,10,800,13895
2008,10,900,21876
2008,11,0,209571
2008,11,100,8132
2008,11,200,7210
2008,11,300,30173
2008,11,400,2337
2008,11,500,10479
2008,11,600,44890
2008,11,700,60261
2008,11,800,13824
2008,11,900,22245
2008,12,0,188125
2008,12,100,7204
2008,12,200,6507
2008,12,300,26780
2008,12,400,1927
2008,12,500,9474
2008,12,600,40122
2008,12,700,56926
2008,12,800,12821
2008,12,900,19293
2009,01,0,238791
2009,01,100,9977
2009,01,200,7991
2009,01,300,35370
2009,01,400,2526
2009,01,500,13646
2009,01,600,57950
2009,01,700,71831
2009,01,800,16372
2009,01,900,28201
2009,02,0,215363
2009,02,100,8788
2009,02,200,7308
2009,02,300,31015
2009,02,400,2222
2009,02,500,11888
2009,02,600,49683
2009,02,700,64391
2009,02,800,13627
2009,02,900,23418
2009,03,0,234491
2009,03,100,9610
2009,03,200,7780
2009,03,300,32697
2009,03,400,2688
2009,03,500,13833
2009,03,600,53901
2009,03,700,68811
2009,03,800,14729
2009,03,900,25304
2009,04,0,224625
2009,04,100,9518
2009,04,200,7598
2009,04,300,32218
2009,04,400,2606
2009,04,500,13914
2009,04,600,53900
2009,04,700,66926
2009,04,800,15857
2009,04,900,23445
2009,05,0,221133
2009,05,100,9226
2009,05,200,7175
2009,05,300,30586
2009,05,400,2459
2009,05,500,12646
2009,05,600,51991
2009,05,700,65308
2009,05,800,14203
2009,05,900,23391
2009,06,0,250209
2009,06,100,9632
2009,06,200,6866
2009,06,300,30498
2009,06,400,2659
2009,06,500,12223
2009,06,600,52128
2009,06,700,71358
2009,06,800,13962
2009,06,900,23006
2009,07,0,258297
2009,07,100,9498
2009,07,200,7108
2009,07,300,31580
2009,07,400,2571
2009,07,500,12520
2009,07,600,52247
2009,07,700,73134
2009,07,800,14201
2009,07,900,23176
2009,08,0,261958
2009,08,100,9541
2009,08,200,7305
2009,08,300,32230
2009,08,400,2726
2009,08,500,11855
2009,08,600,53131
2009,08,700,73183
2009,08,800,14130
2009,08,900,24115
2009,09,0,190519
2009,09,100,6993
2009,09,200,5562
2009,09,300,24045
2009,09,400,2009
2009,09,500,9569
2009,09,600,38844
2009,09,700,50749
2009,09,800,11342
2009,09,900,17559
2009,10,0,244923
2009,10,100,9534
2009,10,200,7588
2009,10,300,33376
2009,10,400,2669
2009,10,500,12088
2009,10,600,51693
2009,10,700,64232
2009,10,800,14164
2009,10,900,22769
2009,11,0,224369
2009,11,100,8834
2009,11,200,7203
2009,11,300,31078
2009,11,400,2312
2009,11,500,10988
2009,11,600,46760
2009,11,700,60434
2009,11,800,12991
2009,11,900,19632
2009,12,0,207894
2009,12,100,8882
2009,12,200,6845
2009,12,300,28408
2009,12,400,2089
2009,12,500,9554
2009,12,600,43870
2009,12,700,57182
2009,12,800,12689
2009,12,900,18637
2010,01,0,229073
2010,01,100,9774
2010,01,200,7668
2010,01,300,33098
2010,01,400,2423
2010,01,500,12339
2010,01,600,53762
2010,01,700,64418
2010,01,800,14488
2010,01,900,23451
2010,02,0,207167
2010,02,100,8964
2010,02,200,7355
2010,02,300,29697
2010,02,400,2209
2010,02,500,10890
2010,02,600,48828
2010,02,700,57763
2010,02,800,12434
2010,02,900,20992
2010,03,0,243301
2010,03,100,10005
2010,03,200,8468
2010,03,300,34045
2010,03,400,2757
2010,03,500,13527
2010,03,600,57062
2010,03,700,67331
2010,03,800,15133
2010,03,900,25320
2010,04,0,224423
2010,04,100,9622
2010,04,200,7252
2010,04,300,31389
2010,04,400,2619
2010,04,500,12713
2010,04,600,51834
2010,04,700,60758
2010,04,800,15518
2010,04,900,22701
2010,05,0,216414
2010,05,100,8860
2010,05,200,7223
2010,05,300,30523
2010,05,400,2376
2010,05,500,12236
2010,05,600,50474
2010,05,700,60182
2010,05,800,13510
2010,05,900,22956
2010,06,0,246819
2010,06,100,9388
2010,06,200,7258
2010,06,300,31255
2010,06,400,2797
2010,06,500,11760
2010,06,600,51814
2010,06,700,64541
2010,06,800,13466
2010,06,900,22982
2010,07,0,249554
2010,07,100,8727
2010,07,200,6696
2010,07,300,30321
2010,07,400,2757
2010,07,500,10901
2010,07,600,50082
2010,07,700,65334
2010,07,800,13447
2010,07,900,21408
2010,08,0,245730
2010,08,100,8483
2010,08,200,6538
2010,08,300,29219
2010,08,400,2633
2010,08,500,10409
2010,08,600,48904
2010,08,700,64881
2010,08,800,13046
2010,08,900,21043
2010,09,0,198843
2010,09,100,7026
2010,09,200,5024
2010,09,300,24424
2010,09,400,2267
2010,09,500,9631
2010,09,600,39974
2010,09,700,50811
2010,09,800,10823
2010,09,900,16140
2010,10,0,235956
2010,10,100,8817
2010,10,200,6695
2010,10,300,30462
2010,10,400,2676
2010,10,500,11514
2010,10,600,48668
2010,10,700,61585
2010,10,800,13283
2010,10,900,19365
2010,11,0,216218
2010,11,100,8123
2010,11,200,6380
2010,11,300,28259
2010,11,400,2170
2010,11,500,10034
2010,11,600,44924
2010,11,700,57843
2010,11,800,12416
2010,11,900,18640
2010,12,0,211237
2010,12,100,7706
2010,12,200,6206
2010,12,300,27255
2010,12,400,2205
2010,12,500,9436
2010,12,600,43941
2010,12,700,59298
2010,12,800,12421
2010,12,900,18630
2011,01,0,224723
2011,01,100,9179
2011,01,200,6909
2011,01,300,31595
2011,01,400,2719
2011,01,500,12665
2011,01,600,52045
2011,01,700,64327
2011,01,800,13606
2011,01,900,22971
2011,02,0,207470
2011,02,100,8031
2011,02,200,6038
2011,02,300,28237
2011,02,400,2437
2011,02,500,11440
2011,02,600,47487
2011,02,700,59505
2011,02,800,11899
2011,02,900,20325
2011,03,0,240913
2011,03,100,9144
2011,03,200,7432
2011,03,300,31487
2011,03,400,2495
2011,03,500,14391
2011,03,600,54602
2011,03,700,66978
2011,03,800,13661
2011,03,900,23143
2011,04,0,216485
2011,04,100,8552
2011,04,200,6715
2011,04,300,28261
2011,04,400,2389
2011,04,500,12537
2011,04,600,49194
2011,04,700,62065
2011,04,800,13185
2011,04,900,20532
2011,05,0,206196
2011,05,100,8502
2011,05,200,5751
2011,05,300,26884
2011,05,400,2098
2011,05,500,11271
2011,05,600,46329
2011,05,700,59301
2011,05,800,11275
2011,05,900,19306
2011,06,0,233946
2011,06,100,8178
2011,06,200,5507
2011,06,300,26226
2011,06,400,2143
2011,06,500,10787
2011,06,600,44612
2011,06,700,60724
2011,06,800,10706
2011,06,900,19040
2011,07,0,218451
2011,07,100,7251
2011,07,200,4686
2011,07,300,23470
2011,07,400,1996
2011,07,500,9951
2011,07,600,38415
2011,07,700,58496
2011,07,800,9917
2011,07,900,16911
2011,08,0,163808
2011,08,100,4772
2011,08,200,3339
2011,08,300,16435
2011,08,400,1580
2011,08,500,7434
2011,08,600,25981
2011,08,700,43937
2011,08,800,7811
2011,08,900,11982
2011,09,0,128568
2011,09,100,3493
2011,09,200,2653
2011,09,300,13218
2011,09,400,1397
2011,09,500,6597
